,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
17,OE15005,California,3945.241604,No,Basic,College,1/5/11,Medical Leave,M,28855.0,Suburban,Married,101.0,12.0,59.0,,1.0,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize
18,WC83389,Oregon,5710.333115,No,,,,Employed,M,,Urban,Married,72.0,9.0,1.0,0.0,7.0,Personal Auto,Personal L2,,Branch,308.981664,,Medsize
19,FL50705,California,8162.617053,,Premium,High School or Below,1/14/11,Employed,F,66140.0,Suburban,,101.0,11.0,21.0,0.0,3.0,Corporate Auto,,,Call Center,484.8,Four-Door Car,
20,ZK25313,,2872.051273,No,Basic,High School or Below,2/19/11,Employed,M,57749.0,Suburban,Single,74.0,,,0.0,1.0,Personal Auto,Personal L2,,Branch,355.2,Two-Door Car,Medsize
21,SV62436,Washington,,No,Extended,Bachelor,1/21/11,,F,13789.0,Suburban,Divorced,,8.0,49.0,0.0,1.0,Personal Auto,,Offer4,Call Center,379.2,Four-Door Car,Medsize
22,YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,,Medical Leave,M,14072.0,Suburban,Divorced,71.0,13.0,,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize
23,,Nevada,2450.190996,No,Basic,Bachelor,2/24/11,Unemployed,F,0.0,Suburban,Single,73.0,4.0,44.0,3.0,,Corporate Auto,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,Medsize
24,HM55802,California,2392.10789,No,Basic,Bachelor,2/5/11,Disabled,F,17870.0,Suburban,Married,61.0,,91.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize
25,FS42516,Oregon,5802.065978,No,Basic,College,1/29/11,Employed,M,97541.0,Suburban,Married,72.0,22.0,1.0,0.0,3.0,,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large
26,US89481,California,3946.372085,No,Premium,Bachelor,2/28/11,Unemployed,F,,Suburban,Single,111.0,15.0,47.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,799.2,,Small
27,HO30839,Washington,5346.916576,No,Extended,Master,,Disabled,F,10511.0,Urban,Married,139.0,33.0,64.0,0.0,1.0,Corporate Auto,Corporate L1,,Branch,516.237951,SUV,
28,GE62437,Arizona,12902.56014,No,Premium,College,2/2/11,Employed,F,86584.0,Suburban,Single,111.0,33.0,54.0,2.0,2.0,,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large
29,EJ77678,Oregon,3235.360468,No,Extended,Master,2/7/11,Employed,F,75690.0,Suburban,Married,80.0,17.0,44.0,1.0,1.0,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small
30,SV85652,Arizona,2454.58354,No,Basic,College,2/28/11,,M,23158.0,Suburban,Married,63.0,4.0,6.0,1.0,1.0,Personal Auto,Personal L2,Offer4,Call Center,322.294043,Four-Door Car,Small
31,,Nevada,18975.45611,No,Extended,High School or Below,,Employed,M,65999.0,Urban,Married,,1.0,,0.0,6.0,Corporate Auto,Corporate L2,Offer2,Agent,,Luxury SUV,Medsize
32,PF41800,,4715.321344,,,Bachelor,1/25/11,,M,,Urban,Married,65.0,19.0,56.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Call Center,308.15089,,Medsize
33,AO98601,Washington,5018.885233,No,Basic,Bachelor,1/18/11,Employed,M,54500.0,Suburban,,,28.0,17.0,0.0,6.0,,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small
34,SK67821,Oregon,4932.916345,No,Basic,Bachelor,2/13/11,Employed,F,37260.0,Rural,Married,62.0,19.0,42.0,0.0,8.0,,Corporate L1,Offer3,Web,15.437681,Four-Door Car,Medsize
35,YV55495,,5744.229745,No,,High School or Below,1/15/11,Employed,F,68987.0,Urban,Married,71.0,11.0,40.0,0.0,6.0,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize
36,KY38074,California,13891.73567,No,Premium,Bachelor,,Employed,M,,Suburban,Married,117.0,10.0,62.0,0.0,2.0,,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small
37,,Oregon,7380.976717,No,Extended,Master,,,F,65706.0,Suburban,Married,91.0,19.0,86.0,0.0,8.0,Personal Auto,Personal L3,Offer2,,436.8,Four-Door Car,Small
38,CM61827,Oregon,3090.034104,No,Extended,Bachelor,1/25/11,Unemployed,M,0.0,Suburban,Single,90.0,7.0,79.0,0.0,,Personal Auto,Personal L2,Offer3,Agent,648.0,Two-Door Car,Small
39,WC35801,Arizona,,No,Basic,High School or Below,2/7/11,Employed,M,53243.0,Rural,Divorced,66.0,4.0,15.0,2.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,Medsize
40,QG25316,Nevada,2652.061785,No,Basic,High School or Below,,Unemployed,F,0.0,Suburban,,70.0,7.0,1.0,,,Corporate Auto,Corporate L3,Offer3,Call Center,484.318536,Two-Door Car,Medsize
41,MB98372,Oregon,2771.045031,Yes,,College,1/11/11,Employed,F,50071.0,Rural,Single,71.0,3.0,32.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,
42,IL19217,California,3939.00637,Yes,Extended,Bachelor,1/28/11,,F,60021.0,Suburban,Married,99.0,12.0,,0.0,,Personal Auto,Personal L2,Offer2,Agent,,Four-Door Car,Small
43,SR38658,Arizona,12231.87968,No,Basic,High School or Below,2/8/11,Employed,M,43244.0,Suburban,Married,103.0,,16.0,0.0,,Personal Auto,Personal L2,Offer4,Agent,494.4,Sports Car,Medsize
44,DH41343,Washington,2443.665166,,Basic,College,2/23/11,Employed,M,92834.0,Suburban,Married,61.0,15.0,,0.0,1.0,Special Auto,Special L2,Offer2,,292.8,,Large
45,HG65722,Oregon,12819.10289,No,Premium,Doctor,1/25/11,Disabled,F,10105.0,Rural,Married,172.0,5.0,4.0,3.0,3.0,Personal Auto,Personal L2,Offer1,Branch,0.517753,SUV,Medsize
46,,Arizona,,No,,Bachelor,1/31/11,Unemployed,M,,,,,7.0,57.0,,5.0,Personal Auto,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,Medsize
47,XM45289,Oregon,5514.344018,No,,High School or Below,1/2/11,Employed,,23218.0,Suburban,Single,71.0,7.0,10.0,0.0,4.0,Personal Auto,Personal L2,Offer4,Agent,447.79344,Two-Door Car,Medsize
48,KP34198,California,3343.875326,No,Extended,Bachelor,,Unemployed,,0.0,Suburban,Married,92.0,11.0,77.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize
49,SH90947,Arizona,,No,,High School or Below,1/18/11,Unemployed,F,0.0,Suburban,Married,62.0,11.0,56.0,0.0,1.0,,Personal L2,Offer4,Branch,313.023175,Four-Door Car,Medsize
50,WE95729,,36707.42639,No,Basic,,,Employed,,24804.0,Suburban,Married,104.0,,28.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,593.830288,SUV,
51,,California,33473.34946,Yes,Basic,Bachelor,1/11/11,Employed,F,33190.0,Suburban,,106.0,18.0,,0.0,2.0,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,
52,RB69909,Nevada,7983.431709,No,Basic,High School or Below,2/21/11,Employed,F,36014.0,Rural,Married,69.0,4.0,40.0,3.0,2.0,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize
53,XR95069,Washington,4854.745666,No,,Bachelor,2/16/11,Employed,M,,Suburban,,64.0,19.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize
54,FR46645,California,,No,,Bachelor,1/17/11,Disabled,M,,Suburban,Married,113.0,20.0,26.0,0.0,1.0,Personal Auto,Personal L2,,Branch,831.625979,Four-Door Car,Small
55,SY17488,Arizona,7164.395543,No,Extended,College,,,F,46623.0,Suburban,Divorced,91.0,1.0,53.0,0.0,3.0,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small
56,AP67935,California,7619.5158,No,Basic,College,2/13/11,Employed,M,64749.0,Urban,Married,64.0,24.0,59.0,0.0,2.0,Special Auto,Special L2,Offer2,Branch,,Four-Door Car,Medsize
57,FS37417,,3958.002823,No,Basic,High School or Below,2/23/11,Unemployed,F,0.0,Suburban,Married,101.0,29.0,12.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,Small
58,,Oregon,4499.493252,No,Extended,High School or Below,1/28/11,Disabled,F,16969.0,Suburban,Divorced,124.0,34.0,,2.0,1.0,Personal Auto,Personal L3,Offer1,,704.768111,SUV,Medsize
59,UB61619,Oregon,4059.567414,No,Premium,,2/28/11,Disabled,,,Suburban,Divorced,108.0,4.0,98.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize
60,CD86811,Arizona,,Yes,Basic,Bachelor,1/2/11,Retired,M,17622.0,Suburban,Divorced,65.0,1.0,36.0,1.0,3.0,,Personal L1,Offer1,Agent,,Four-Door Car,Medsize
61,RU83859,California,8110.333139,No,Premium,Bachelor,,Medical Leave,F,,Suburban,Married,105.0,4.0,50.0,0.0,,Personal Auto,Personal L3,,Call Center,504.0,Two-Door Car,Small
62,FG63582,Oregon,3339.764873,No,Extended,Bachelor,1/15/11,Unemployed,M,0.0,Suburban,Single,94.0,20.0,53.0,0.0,,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small
63,NN71951,California,24261.01777,No,Basic,High School or Below,1/27/11,Employed,F,,Rural,Married,,,86.0,0.0,2.0,,Personal L3,Offer1,Agent,104.331355,SUV,Medsize
64,WB37082,Arizona,6613.973653,No,Basic,Bachelor,1/23/11,,F,0.0,,Single,63.0,21.0,28.0,0.0,2.0,,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large
65,SM52139,Washington,2930.693543,No,Basic,College,1/31/11,Employed,M,33663.0,Suburban,Married,73.0,29.0,71.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize
66,FL82372,Oregon,8672.194272,No,Basic,College,1/26/11,Employed,F,22547.0,Suburban,Divorced,112.0,7.0,60.0,0.0,3.0,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize
67,DP45816,Arizona,11638.66926,No,Extended,High School or Below,1/10/11,,F,61486.0,Urban,Married,,5.0,65.0,0.0,2.0,Personal Auto,Personal L3,Offer4,Branch,465.258644,,Small
68,GW33762,Oregon,,Yes,,Bachelor,1/27/11,Unemployed,F,,Suburban,Divorced,95.0,13.0,20.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large
69,RZ33670,California,11727.77648,No,Premium,College,1/9/11,Disabled,F,29879.0,Suburban,Married,,17.0,0.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Web,500.254235,Four-Door Car,Medsize
70,PY70169,Oregon,22643.83478,No,Basic,High School or Below,2/24/11,Employed,,93011.0,Rural,Divorced,113.0,17.0,12.0,0.0,2.0,Personal Auto,Personal L3,Offer4,,281.451042,SUV,Medsize
71,MO91628,Oregon,2614.474305,No,Basic,Master,2/11/11,Employed,M,65186.0,Rural,,65.0,29.0,27.0,0.0,,Personal Auto,Personal L2,Offer2,,5.434505,Two-Door Car,Large
72,HW87852,Oregon,2451.752695,No,Basic,,2/12/11,,M,26840.0,Suburban,Married,64.0,1.0,47.0,2.0,1.0,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,
73,HB20453,Oregon,6781.270203,No,Basic,Bachelor,2/4/11,Unemployed,M,0.0,Suburban,Single,104.0,,3.0,1.0,,Personal Auto,Personal L3,Offer1,Agent,982.399613,Sports Car,Medsize
74,BN87372,Oregon,4974.801539,Yes,Basic,Bachelor,1/18/11,Employed,M,75644.0,Suburban,Divorced,65.0,5.0,68.0,3.0,9.0,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize
75,YX23800,Oregon,8591.604933,No,Basic,Bachelor,,Employed,M,38984.0,Suburban,,73.0,,38.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,350.4,,Small
76,DZ87709,Oregon,5592.161392,No,Basic,High School or Below,2/1/11,Employed,F,71811.0,Rural,Single,71.0,17.0,48.0,0.0,6.0,Personal Auto,Personal L1,Offer2,Call Center,,Four-Door Car,Medsize
77,XW13033,Nevada,8009.472833,,Basic,College,,Employed,,20961.0,Suburban,Married,67.0,,,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize
78,,Washington,11318.08982,No,Extended,College,2/6/11,,M,38923.0,Rural,Married,99.0,6.0,83.0,,2.0,Personal Auto,Personal L3,,Agent,115.728852,Four-Door Car,Medsize
79,OM82309,California,58166.55351,No,Basic,Bachelor,2/27/11,Employed,M,,Rural,Single,186.0,0.0,30.0,1.0,2.0,Personal Auto,,Offer2,Branch,427.63121,Luxury Car,Small
80,ZU35962,California,8025.229358,No,Extended,College,,Unemployed,F,0.0,Rural,Single,77.0,20.0,,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large
81,VH85817,California,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,M,51066.0,Suburban,Single,74.0,23.0,0.0,0.0,,Personal Auto,Personal L3,,Call Center,787.993313,Four-Door Car,Medsize
82,DT85712,California,4118.539113,,Basic,Doctor,1/27/11,Employed,M,34378.0,Suburban,Married,102.0,12.0,54.0,0.0,1.0,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize
83,YJ88573,Nevada,2523.07015,,Basic,Master,1/16/11,Employed,M,43072.0,Suburban,,63.0,35.0,,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large
84,SQ19467,Oregon,,,Extended,College,1/27/11,Disabled,F,25222.0,Suburban,Single,90.0,28.0,69.0,0.0,3.0,Personal Auto,,Offer2,Agent,475.623251,Four-Door Car,Small
85,HF88410,Washington,7703.397294,No,Basic,,2/28/11,,M,,Suburban,,66.0,15.0,32.0,1.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,Medsize
86,ET79815,California,5926.729379,Yes,Extended,College,1/25/11,Retired,,23091.0,Suburban,Married,96.0,28.0,90.0,5.0,5.0,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize
87,QC35222,California,2683.470677,No,Basic,Bachelor,1/1/11,Employed,F,48269.0,Urban,Married,69.0,3.0,79.0,3.0,1.0,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize
88,CJ15590,Oregon,2695.182419,No,Basic,Bachelor,,Employed,F,32720.0,Suburban,Divorced,,13.0,12.0,0.0,1.0,,Personal L2,Offer3,Branch,321.6,Four-Door Car,
89,OI48267,California,6047.02516,Yes,Extended,College,2/19/11,Employed,M,20396.0,Suburban,Married,76.0,15.0,60.0,,4.0,,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize
90,JY67916,Oregon,13171.01282,No,Premium,College,1/27/11,Medical Leave,M,21513.0,Suburban,Married,,21.0,81.0,1.0,2.0,Personal Auto,,Offer2,Branch,679.827592,Two-Door Car,Small
91,OE75231,Washington,10656.88195,Yes,Extended,Bachelor,2/27/11,,,72540.0,Suburban,Married,,7.0,3.0,0.0,2.0,Corporate Auto,Corporate L3,,Call Center,631.743039,,Medsize
92,CZ33664,Oregon,2527.653796,,Basic,Bachelor,1/17/11,Employed,F,80744.0,Rural,Married,63.0,24.0,84.0,0.0,,Corporate Auto,Corporate L3,,Agent,11.879037,Four-Door Car,Medsize
93,WK30175,Oregon,2672.095756,No,,Bachelor,2/10/11,Employed,,52822.0,Suburban,Married,67.0,23.0,88.0,0.0,,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small
94,ON44465,California,5313.294035,No,Extended,,1/24/11,Unemployed,F,0.0,Suburban,Single,77.0,8.0,10.0,1.0,9.0,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize
95,TV87155,Oregon,,No,Basic,Bachelor,2/24/11,Employed,F,69738.0,Suburban,Married,74.0,,26.0,1.0,2.0,,,Offer1,Branch,492.127532,Four-Door Car,Large
96,KH48895,Arizona,8375.353929,No,Basic,,2/15/11,Medical Leave,F,17780.0,Rural,Married,109.0,12.0,18.0,,9.0,Personal Auto,,Offer1,,132.588288,SUV,Medsize
97,,California,4801.661503,No,Basic,Bachelor,2/16/11,Medical Leave,M,18107.0,,Married,,,11.0,0.0,8.0,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize
98,RI22468,Arizona,,No,Basic,Bachelor,1/22/11,Employed,F,57740.0,Urban,Married,74.0,30.0,87.0,3.0,9.0,Personal Auto,Personal L1,,Web,269.905129,Four-Door Car,Medsize
99,FZ30935,Oregon,6066.115969,No,Extended,College,2/25/11,Employed,M,32627.0,Suburban,Married,76.0,11.0,60.0,0.0,7.0,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small
100,UG93476,California,8002.308333,Yes,Basic,College,1/11/11,Unemployed,,0.0,Suburban,Married,107.0,3.0,65.0,0.0,3.0,Personal Auto,Personal L3,Offer1,,513.6,SUV,Medsize
101,AB96670,California,2393.915369,Yes,Basic,,1/31/11,Unemployed,M,0.0,Suburban,Single,,24.0,10.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize
102,,Oregon,4762.8179,No,Basic,,1/12/11,Employed,,65795.0,Rural,Single,62.0,2.0,85.0,1.0,3.0,Corporate Auto,,Offer3,Call Center,49.011099,Two-Door Car,Medsize
103,EV68375,California,4330.38602,Yes,Premium,,2/16/11,Employed,M,60475.0,Suburban,Married,107.0,9.0,18.0,0.0,1.0,,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize
104,UN51653,California,9402.729769,No,Extended,High School or Below,2/9/11,,F,0.0,Suburban,Single,130.0,,88.0,,4.0,,Personal L3,Offer1,Web,936.0,SUV,Medsize
105,TO96662,Oregon,6966.694527,No,Extended,Bachelor,1/19/11,Employed,F,41837.0,Rural,Married,88.0,29.0,93.0,0.0,9.0,Personal Auto,,Offer1,Call Center,142.062768,Four-Door Car,Small
106,MR52087,California,7694.064293,No,Basic,Bachelor,,Employed,F,32303.0,Rural,,65.0,13.0,34.0,0.0,2.0,Personal Auto,Personal L1,Offer3,Branch,45.152521,,Medsize
107,DE75225,Oregon,8717.561149,No,Basic,High School or Below,1/9/11,Unemployed,,0.0,,Married,117.0,,,1.0,3.0,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize
108,EP80820,California,5928.748528,No,Basic,Bachelor,1/27/11,Employed,F,40531.0,Rural,Married,74.0,17.0,,0.0,9.0,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize
109,GU99037,Oregon,2452.977288,No,Basic,College,2/14/11,,M,79898.0,Urban,Married,62.0,5.0,86.0,1.0,1.0,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize
110,WI57118,California,6701.571657,No,Extended,College,2/27/11,,M,56398.0,Suburban,,85.0,4.0,18.0,,7.0,Personal Auto,,Offer4,Agent,408.0,,Small
111,YQ74870,Washington,7556.24034,No,Extended,High School or Below,2/12/11,Employed,M,35257.0,Suburban,Divorced,98.0,16.0,2.0,1.0,,Corporate Auto,Corporate L2,Offer2,Web,,Four-Door Car,Small
112,,Arizona,8492.6988,No,Basic,College,2/26/11,Employed,M,27804.0,Suburban,Married,109.0,19.0,54.0,,7.0,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize
113,KN20603,Oregon,7713.494046,No,Basic,Bachelor,,Employed,M,45506.0,Suburban,Single,66.0,16.0,32.0,2.0,,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize
114,CR48975,Washington,24084.5352,No,Basic,High School or Below,2/2/11,Employed,M,65196.0,Suburban,Married,67.0,0.0,54.0,0.0,2.0,Personal Auto,Personal L2,Offer4,Branch,396.082036,Four-Door Car,Medsize
115,JI70886,California,7290.069769,No,Basic,,2/15/11,Unemployed,M,,Suburban,Married,102.0,11.0,70.0,1.0,3.0,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize
116,VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,,20993.0,Suburban,Divorced,133.0,35.0,,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize
117,OX28638,Arizona,6806.491395,,Extended,High School or Below,1/21/11,Employed,M,37839.0,Suburban,Married,86.0,35.0,77.0,0.0,9.0,Personal Auto,Personal L3,,Branch,,Two-Door Car,Medsize
118,SK55033,California,,No,Basic,Bachelor,1/15/11,Employed,F,92711.0,Suburban,Single,,24.0,,0.0,1.0,Personal Auto,Personal L2,Offer3,,368.400146,Two-Door Car,Medsize
119,OO88645,California,3103.923041,No,Extended,College,2/5/11,Employed,F,74665.0,Urban,Married,78.0,,90.0,2.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,,Four-Door Car,Medsize
120,YT36855,Washington,2981.875575,No,Extended,College,2/24/11,Unemployed,M,0.0,Suburban,Married,83.0,26.0,89.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,
121,CW82151,,8902.737595,No,Basic,Bachelor,,Employed,M,46833.0,Rural,Married,112.0,6.0,3.0,,9.0,Personal Auto,Personal L3,Offer1,Call Center,,Sports Car,Medsize
122,DY22043,,5499.447223,No,Basic,High School or Below,,,F,88768.0,Suburban,Married,68.0,17.0,77.0,0.0,,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small
123,SH36774,California,15023.59858,No,Basic,High School or Below,1/12/11,Employed,M,28262.0,Suburban,Single,192.0,9.0,77.0,,3.0,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize
124,EM43724,Nevada,2509.107875,No,Basic,Bachelor,2/16/11,Employed,F,33555.0,Rural,Married,63.0,17.0,11.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,
125,FH85960,Oregon,31221.7481,No,Premium,College,1/3/11,Employed,M,42780.0,Suburban,Divorced,113.0,10.0,27.0,1.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize
126,XA55993,Oregon,3133.503432,No,Extended,Master,2/7/11,Employed,,58850.0,Rural,Single,78.0,20.0,26.0,0.0,1.0,Personal Auto,,Offer2,Branch,143.747794,Four-Door Car,Medsize
127,GO36627,Arizona,,No,Extended,College,1/13/11,Employed,M,21880.0,Urban,Married,97.0,29.0,37.0,0.0,,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize
128,QH48047,Oregon,11790.49617,Yes,Basic,,1/3/11,Retired,M,25251.0,Suburban,Divorced,66.0,13.0,43.0,0.0,2.0,Personal Auto,,Offer2,Web,316.8,Four-Door Car,Medsize
129,RB50392,Washington,7838.068321,No,Basic,Master,2/17/11,Unemployed,F,0.0,Rural,Married,69.0,9.0,12.0,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,,Four-Door Car,Medsize
130,UH65059,Arizona,4305.808345,No,Basic,High School or Below,1/21/11,Employed,,24188.0,Suburban,Married,109.0,14.0,82.0,,1.0,,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize
