,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
86,AZ,95.0,408,No,No,0,238.1,65,40.48,187.2,98.0,15.91,190.0,115,8.55,11.8,4,3.19,4.0,False
87,NM,93.0,510,No,Yes,21,117.9,131,20.04,164.5,115.0,13.98,217.0,86,9.76,9.8,3,2.65,1.0,False
88,UT,157.0,408,No,No,0,229.8,90,39.07,147.9,121.0,12.57,241.4,108,10.86,9.6,7,2.59,3.0,False
89,MI,,408,No,No,0,165.0,100,28.05,317.2,83.0,26.96,119.2,86,5.36,8.3,8,2.24,1.0,False
90,MA,103.0,415,No,No,0,185.0,117,31.45,223.3,94.0,18.98,222.8,91,10.03,12.6,2,3.4,2.0,False
91,AL,98.0,408,No,No,0,161.0,117,27.37,190.9,113.0,16.23,227.7,113,10.25,12.1,4,3.27,,False
92,DE,125.0,408,No,No,0,126.7,108,21.54,206.0,,17.51,247.8,114,11.15,13.3,7,3.59,1.0,False
93,ME,36.0,510,Yes,Yes,42,196.8,89,33.46,254.9,122.0,21.67,138.3,126,6.22,20.0,6,5.4,0.0,True
94,NJ,64.0,510,No,No,0,162.6,83,27.64,152.3,109.0,12.95,57.5,122,2.59,14.2,3,3.83,1.0,False
95,NV,74.0,415,No,No,0,282.5,114,48.03,219.9,48.0,18.69,170.0,115,7.65,9.4,4,2.54,1.0,True
96,MO,112.0,510,No,Yes,36,113.7,117,19.33,157.5,82.0,13.39,177.6,118,7.99,10.0,3,2.7,2.0,False
97,NE,46.0,408,No,No,0,210.2,92,35.73,227.3,77.0,19.32,200.1,116,9.0,13.1,7,3.54,1.0,False
98,TX,,408,No,Yes,22,213.8,102,36.35,141.8,,12.05,142.2,123,6.4,7.2,3,1.94,0.0,False
99,MD,121.0,510,No,No,0,190.7,103,32.42,183.5,117.0,15.6,220.8,103,,9.8,4,2.65,3.0,False
100,MS,193.0,415,No,No,0,170.9,124,29.05,132.3,95.0,11.25,112.9,89,5.08,11.6,3,3.13,,False
101,NV,130.0,510,No,No,0,154.2,119,26.21,110.2,98.0,9.37,227.4,117,10.23,9.2,5,2.48,2.0,False
102,AZ,85.0,408,No,No,0,201.4,52,34.24,229.4,104.0,19.5,252.5,106,11.36,12.0,3,3.24,1.0,False
103,MS,162.0,415,No,No,0,70.7,108,12.02,157.5,87.0,13.39,154.8,82,6.97,9.1,3,2.46,4.0,True
104,MS,61.0,510,No,Yes,27,187.5,124,31.88,146.6,,12.46,225.7,129,10.16,6.4,6,1.73,4.0,True
105,TX,92.0,408,No,No,0,91.7,90,15.59,193.7,123.0,16.46,175.0,86,7.88,9.2,4,2.48,2.0,False
106,NE,131.0,408,No,Yes,36,214.2,115,36.41,161.7,117.0,13.74,264.7,102,11.91,9.5,4,2.57,3.0,False
107,NE,90.0,415,No,No,0,145.5,92,24.74,217.7,114.0,18.5,146.9,123,6.61,10.9,2,2.94,3.0,False
108,NJ,78.0,415,No,No,0,231.0,115,39.27,230.4,140.0,19.58,261.4,120,11.76,9.5,3,2.57,1.0,False
109,TX,82.0,408,No,No,0,200.3,96,34.05,201.2,102.0,17.1,206.1,60,9.27,7.1,1,1.92,4.0,False
110,AR,163.0,408,No,No,0,197.0,109,33.49,202.6,128.0,17.22,206.4,80,9.29,9.1,10,2.46,1.0,False
111,AL,,510,Yes,No,0,129.9,112,22.08,173.3,83.0,14.73,247.2,130,11.12,11.2,3,3.02,3.0,False
112,NY,75.0,415,No,Yes,21,175.8,97,29.89,217.5,106.0,18.49,237.5,134,,5.3,4,1.43,5.0,False
113,FL,,510,No,No,0,203.1,106,34.53,210.1,113.0,17.86,195.6,129,8.8,12.0,3,3.24,3.0,False
114,AK,127.0,510,No,Yes,36,183.2,117,31.14,126.8,76.0,10.78,263.3,71,11.85,11.2,8,3.02,1.0,False
115,NV,113.0,415,No,Yes,23,205.0,101,34.85,152.0,60.0,12.92,158.6,59,7.14,10.2,5,2.75,2.0,False
116,DE,,510,No,No,0,148.5,115,,276.4,84.0,23.49,193.6,112,8.71,12.4,3,3.35,1.0,False
117,MD,120.0,415,No,Yes,39,200.3,68,34.05,220.4,,18.73,253.8,116,11.42,10.5,4,2.84,0.0,False
118,MI,157.0,415,No,Yes,28,192.6,107,32.74,195.5,74.0,16.62,109.7,139,4.94,6.8,5,1.84,3.0,False
119,VT,,510,No,No,0,246.5,47,41.91,195.5,84.0,16.62,200.5,96,9.02,11.7,4,3.16,1.0,False
120,VT,117.0,408,Yes,No,0,167.1,86,28.41,177.5,87.0,15.09,249.4,132,11.22,14.1,7,3.81,2.0,True
121,MI,140.0,415,No,No,0,231.9,101,39.42,160.1,,13.61,110.4,98,4.97,14.3,6,3.86,3.0,False
122,UT,83.0,408,Yes,No,0,271.5,87,46.16,216.3,126.0,18.39,121.1,105,5.45,11.7,4,3.16,1.0,False
123,RI,145.0,408,No,Yes,43,257.7,97,43.81,162.1,95.0,13.78,286.9,86,12.91,11.1,4,3.0,,False
124,IA,113.0,408,No,No,0,193.8,99,32.95,221.4,,18.82,172.3,67,7.75,10.6,6,2.86,,False
125,RI,56.0,415,No,No,0,226.0,112,38.42,248.5,118.0,21.12,140.5,142,6.32,6.9,11,1.86,,False
126,OK,,415,No,No,0,260.4,115,44.27,146.0,46.0,12.41,269.5,87,12.13,11.5,4,3.11,5.0,False
127,LA,151.0,408,No,No,0,178.7,116,,292.1,138.0,24.83,265.9,101,11.97,9.8,4,2.65,0.0,False
128,OH,83.0,415,No,No,0,337.4,120,57.36,227.4,116.0,19.33,153.9,114,6.93,15.8,7,4.27,0.0,True
129,VA,139.0,510,No,Yes,23,157.6,129,26.79,247.0,96.0,21.0,259.2,112,11.66,13.7,2,3.7,0.0,False
130,FL,115.0,510,No,Yes,24,142.1,124,24.16,183.4,129.0,15.59,164.8,114,7.42,9.6,4,2.59,1.0,False
131,SC,87.0,415,No,No,0,136.3,97,23.17,172.2,108.0,14.64,137.5,101,6.19,7.1,5,1.92,0.0,False
132,VA,141.0,415,No,No,0,217.1,110,36.91,241.5,111.0,20.53,253.5,103,11.41,12.0,6,3.24,0.0,False
133,IA,141.0,510,No,Yes,36,187.5,99,31.88,241.4,116.0,20.52,229.5,105,10.33,10.5,5,2.84,3.0,False
134,MI,62.0,415,No,No,0,98.9,103,16.81,135.4,122.0,11.51,236.6,82,10.65,12.2,1,3.29,1.0,False
135,OK,146.0,415,No,No,0,206.3,151,35.07,148.6,89.0,12.63,167.2,91,7.52,6.1,3,1.65,1.0,False
136,DE,92.0,415,No,Yes,33,243.1,92,41.33,213.8,92.0,18.17,228.7,104,10.29,12.1,2,3.27,2.0,False
137,GA,185.0,510,No,Yes,31,189.8,126,32.27,163.3,133.0,13.88,264.8,126,11.92,7.5,3,2.03,1.0,False
138,DC,,415,No,No,0,202.0,102,34.34,243.2,128.0,20.67,261.3,90,11.76,10.9,3,2.94,1.0,False
139,AZ,94.0,408,No,Yes,38,170.1,124,28.92,193.3,116.0,16.43,105.9,73,4.77,12.8,4,3.46,1.0,False
140,CO,68.0,408,No,No,0,237.1,105,,223.5,105.0,19.0,97.4,79,4.38,13.2,2,3.56,1.0,False
141,LA,179.0,408,No,No,0,219.2,92,37.26,149.4,125.0,12.7,244.7,104,11.01,6.1,5,1.65,0.0,False
142,NE,,415,No,No,0,252.6,104,42.94,169.0,125.0,14.37,170.9,106,7.69,11.1,7,3.0,2.0,False
143,MN,,415,No,No,0,147.1,91,25.01,190.4,107.0,16.18,195.2,115,8.78,12.2,3,3.29,0.0,False
144,AR,116.0,408,No,No,0,173.5,93,29.5,194.1,76.0,16.5,208.0,112,9.36,16.2,10,4.37,3.0,False
145,KS,70.0,408,No,No,0,232.1,122,39.46,292.3,112.0,24.85,201.2,112,9.05,0.0,0,0.0,3.0,False
146,WV,,510,Yes,Yes,23,197.1,125,33.51,214.5,136.0,18.23,282.2,103,,9.5,5,2.57,4.0,False
147,AK,126.0,415,No,No,0,58.2,94,,138.7,118.0,11.79,136.8,91,6.16,11.9,1,3.21,5.0,True
148,NY,,408,No,Yes,36,115.6,111,19.65,237.7,94.0,20.2,169.9,103,7.65,9.9,12,2.67,2.0,False
149,NH,19.0,408,No,No,0,186.1,98,31.64,254.3,57.0,21.62,214.0,127,9.63,14.6,7,3.94,2.0,False
150,VA,170.0,510,Yes,No,0,259.9,68,44.18,245.0,122.0,20.83,134.4,121,6.05,8.4,3,2.27,3.0,False
151,NM,,415,No,No,0,214.3,145,36.43,268.5,135.0,22.82,241.2,92,10.85,10.8,13,2.92,1.0,False
152,NY,106.0,408,No,No,0,158.7,74,26.98,64.3,139.0,5.47,198.5,103,,10.2,4,2.75,1.0,False
153,WY,164.0,510,No,No,0,160.6,111,27.3,163.2,126.0,13.87,187.1,112,8.42,9.0,3,2.43,1.0,False
154,WA,,408,No,No,0,232.4,109,39.51,187.4,95.0,15.93,231.2,107,10.4,9.1,3,2.46,,False
155,CO,107.0,415,No,No,0,133.8,85,22.75,180.5,94.0,15.34,112.2,115,5.05,8.9,4,2.4,0.0,False
156,TX,130.0,415,No,No,0,176.9,109,30.07,90.7,,7.71,238.0,69,10.71,9.5,2,2.57,1.0,False
157,KY,80.0,408,No,No,0,209.9,74,35.68,195.1,77.0,16.58,208.2,119,9.37,8.8,4,2.38,2.0,False
158,MT,94.0,415,No,No,0,137.5,118,23.38,203.2,88.0,17.27,150.0,131,6.75,13.4,2,3.62,0.0,False
159,OK,118.0,408,No,Yes,23,289.5,52,49.22,166.6,111.0,14.16,119.1,88,5.36,9.5,4,2.57,,False
160,MD,117.0,415,No,Yes,23,198.1,86,33.68,177.0,86.0,15.05,180.5,92,8.12,6.8,6,1.84,1.0,False
161,TN,78.0,415,No,No,0,149.7,119,25.45,182.2,115.0,15.49,261.5,126,11.77,9.7,8,2.62,0.0,False
162,ME,131.0,510,Yes,Yes,26,292.9,101,49.79,199.7,97.0,16.97,255.3,127,11.49,13.8,7,3.73,4.0,True
163,DC,63.0,408,No,No,0,83.0,64,14.11,177.0,106.0,15.05,245.7,89,11.06,13.0,3,3.51,0.0,False
164,MN,53.0,415,No,Yes,24,145.7,146,24.77,220.5,136.0,18.74,249.9,96,11.25,13.1,5,3.54,3.0,False
165,DE,,408,No,No,0,182.3,101,30.99,328.2,93.0,27.9,245.0,131,11.03,11.2,1,3.02,,False
166,MD,97.0,415,No,No,0,218.0,86,37.06,184.0,94.0,15.64,240.5,110,,6.4,8,1.73,3.0,False
167,MI,105.0,510,No,No,0,140.6,109,23.9,178.6,51.0,15.18,217.0,83,9.76,6.8,3,1.84,2.0,False
168,WA,157.0,415,No,No,0,152.7,105,25.96,257.5,80.0,21.89,198.1,93,,9.4,4,2.54,1.0,False
169,MO,66.0,415,No,Yes,36,106.7,76,18.14,209.8,77.0,17.83,190.4,117,,12.1,2,3.27,1.0,False
170,OR,38.0,415,No,No,0,194.4,94,33.05,186.7,95.0,15.87,223.3,90,10.05,10.8,5,2.92,3.0,False
171,MD,106.0,510,No,No,0,213.9,95,36.36,151.9,70.0,12.91,260.1,124,11.7,12.2,5,3.29,3.0,False
172,RI,,510,No,No,0,217.2,112,36.92,246.7,89.0,20.97,226.1,89,10.17,15.8,7,4.27,3.0,False
173,AZ,144.0,510,Yes,No,0,203.5,100,34.6,247.6,103.0,21.05,194.3,94,8.74,11.9,11,3.21,0.0,False
174,PA,82.0,415,No,Yes,24,155.2,131,26.38,244.5,106.0,20.78,122.4,68,5.51,10.7,3,2.89,1.0,False
175,AZ,86.0,408,No,Yes,31,167.6,139,28.49,113.0,118.0,9.61,246.9,121,11.11,12.2,6,3.29,1.0,False
176,FL,70.0,510,Yes,No,0,226.7,98,38.54,228.1,115.0,19.39,73.2,93,3.29,17.6,4,4.75,2.0,True
177,LA,93.0,415,No,No,0,179.3,93,30.48,178.6,98.0,15.18,225.2,131,10.13,11.5,6,3.11,3.0,False
178,FL,93.0,415,No,No,0,151.4,89,,186.4,76.0,15.84,172.5,120,7.76,10.9,3,2.94,0.0,False
179,FL,120.0,415,No,No,0,180.0,80,30.6,224.2,,19.06,265.4,91,11.94,4.7,7,1.27,3.0,False
180,MD,136.0,415,No,No,0,250.2,121,42.53,267.1,118.0,22.7,151.0,114,6.8,13.0,2,3.51,1.0,True
181,AL,,415,No,No,0,223.0,121,37.91,110.1,98.0,9.36,188.7,107,8.49,7.1,12,1.92,0.0,False
182,WA,81.0,415,No,No,0,183.6,116,31.21,152.6,,12.97,212.2,99,9.55,12.2,6,3.29,3.0,False
183,TN,127.0,408,No,Yes,22,166.0,114,28.22,174.5,103.0,14.83,244.9,68,11.02,10.2,6,2.75,1.0,False
184,ME,35.0,408,No,No,0,149.3,113,25.38,242.2,122.0,20.59,174.3,104,7.84,8.9,6,2.4,2.0,False
185,OK,88.0,408,No,No,0,65.4,97,11.12,168.2,76.0,14.3,236.0,113,10.62,13.8,1,3.73,2.0,False
186,MO,,415,No,No,0,206.9,85,35.17,244.7,78.0,20.8,221.5,136,9.97,7.7,2,2.08,3.0,False
187,IA,,408,No,Yes,27,186.2,78,,189.6,83.0,16.12,76.5,139,3.44,9.6,3,2.59,2.0,False
188,VA,104.0,415,No,Yes,23,280.2,136,47.63,220.5,92.0,18.74,136.9,102,6.16,13.3,3,3.59,4.0,False
189,MD,93.0,408,Yes,No,0,312.0,109,53.04,129.4,100.0,11.0,217.6,74,9.79,10.5,2,2.84,0.0,True
190,OH,63.0,415,Yes,Yes,36,199.0,110,,291.3,111.0,24.76,197.6,92,8.89,11.0,6,2.97,1.0,False
191,OK,100.0,415,No,No,0,203.1,96,34.53,217.0,126.0,18.45,180.9,122,8.14,13.5,2,3.65,3.0,False
192,NV,53.0,415,No,No,0,168.8,97,28.7,220.3,,18.73,154.3,113,6.94,10.9,2,2.94,,False
193,ID,92.0,415,Yes,No,0,173.1,140,29.43,240.3,105.0,20.43,233.2,117,10.49,9.0,5,2.43,1.0,False
194,SD,110.0,408,No,Yes,40,202.6,103,34.44,118.8,128.0,10.1,234.9,98,10.57,9.0,9,2.43,,False
195,IL,110.0,408,No,No,0,74.5,117,12.67,200.8,,17.07,192.2,101,8.65,9.8,7,2.65,3.0,False
196,AL,73.0,415,No,No,0,192.2,86,,168.6,,14.33,139.8,87,6.29,9.4,6,2.54,1.0,False
197,NJ,138.0,510,No,No,0,220.2,89,37.43,88.3,125.0,7.51,195.3,79,8.79,12.9,5,3.48,,False
198,NV,137.0,415,Yes,No,0,135.1,95,22.97,134.1,102.0,11.4,223.1,81,10.04,12.3,2,3.32,2.0,True
199,IN,36.0,415,No,No,0,253.4,77,,182.4,151.0,15.5,275.8,103,12.41,8.4,2,2.27,,False
200,WV,85.0,408,No,No,0,225.0,81,38.25,176.9,63.0,15.04,194.3,110,8.74,7.1,2,1.92,3.0,False
201,VA,108.0,408,No,No,0,198.5,99,33.75,267.8,60.0,22.76,354.9,75,15.97,9.4,3,2.54,0.0,True
202,SC,22.0,408,No,No,0,110.3,107,18.75,166.5,93.0,14.15,202.3,96,9.1,9.5,5,2.57,0.0,False
203,RI,107.0,415,No,Yes,37,60.0,102,10.2,102.2,80.0,8.69,261.8,106,11.78,11.1,3,3.0,0.0,False
204,IN,51.0,510,No,No,0,214.8,94,36.52,149.7,58.0,12.72,283.4,66,12.75,10.2,5,2.75,0.0,False
205,OR,33.0,415,No,Yes,29,157.4,99,26.76,117.9,80.0,10.02,279.2,79,12.56,13.9,11,3.75,4.0,True
206,NJ,106.0,415,No,No,0,207.9,91,35.34,172.0,109.0,14.62,191.8,143,8.63,14.4,7,3.89,4.0,False
207,MS,82.0,408,No,No,0,207.0,90,35.19,232.9,83.0,19.8,172.4,108,7.76,9.1,8,2.46,3.0,False
208,TX,97.0,415,Yes,No,0,143.7,117,,273.0,82.0,23.21,178.3,81,8.02,10.9,3,2.94,0.0,False
209,DC,108.0,510,No,No,0,138.6,122,23.56,172.3,117.0,14.65,231.6,92,10.42,9.8,3,2.65,1.0,False
210,TX,114.0,415,No,No,0,84.7,118,14.4,249.9,86.0,21.24,193.4,95,8.7,14.5,8,3.92,1.0,False
211,UT,59.0,510,No,No,0,155.2,79,26.38,235.3,123.0,20.0,169.4,80,7.62,8.7,4,2.35,1.0,False
212,MN,24.0,510,No,Yes,25,164.9,110,28.03,209.3,105.0,17.79,231.2,55,10.4,6.7,9,1.81,,False
